academic_year,school_id,grade,gender,student_category,students_enrolled,cwsn_enrolled
2022,9485339162,11,female,other,21,4
2022,9208439862,8,male,st,27,4
2022,9202309046,8,female,sc,29,2
2022,9264624153,12,male,st,25,3
2022,9382801151,3,male,other,26,4
2022,9538877408,7,female,sc,30,5
2022,9349889460,9,female,other,20,2
2022,9149095967,3,male,other,20,3
2022,9259699647,6,female,st,23,5
2022,9097881072,2,male,sc,30,2
2022,9215182078,11,female,other,21,3
2022,9126923051,6,male,other,26,4
2022,9546472086,5,male,obc,21,4
2022,9347807031,10,female,sc,23,3
2022,9242914523,8,male,st,22,4
2022,9507485239,11,female,obc,21,4
2022,9562358316,9,female,general,25,2
2022,9374936607,5,male,st,21,3
2022,9141508716,11,male,other,26,4
2022,9488290416,12,female,st,24,3
2022,9382252090,10,female,general,21,4
2022,9539895812,12,female,other,21,2
2022,9371505556,6,female,st,29,2
2022,9121350536,5,male,sc,23,4
2022,9413632659,2,female,other,22,5
2022,9049278618,10,male,other,21,5
2022,9152052988,2,male,sc,28,5
2022,9370365008,12,female,obc,22,4
2022,9567069374,10,male,sc,27,5
2022,9290649713,4,male,obc,20,4
2022,9502237581,11,male,general,27,3
2022,9091009557,12,female,sc,22,2
2022,9242612282,3,female,sc,24,3
2022,9550602993,10,male,obc,29,3
2022,9537309299,3,male,st,22,4
2022,9091041619,9,female,sc,21,4
2022,9043999656,2,female,st,24,5
2022,9124279289,8,male,sc,27,3
2022,9229065324,1,female,obc,21,5
2022,9139043266,12,female,obc,27,5
2022,9442364095,4,female,obc,23,3
2022,9029542441,3,male,general,27,5
2022,9317008192,1,female,general,28,5
2022,9151527987,3,female,st,21,2
2022,9377334085,10,female,general,23,4
2022,9524325829,6,female,other,25,2
2022,9429758036,6,male,st,22,5
2022,9242463599,5,female,sc,24,4
2022,9222713078,2,female,st,30,4
2022,9191812341,12,female,sc,27,4
2022,9274128784,12,male,sc,20,3
2022,9452586028,4,male,other,21,3
2022,9430500270,2,female,st,25,2
2022,9570360121,3,male,obc,27,2
2022,9429660368,1,male,other,25,5
2022,9556644483,10,female,general,28,3
2022,9091717544,12,male,obc,28,3
2022,9049384301,8,male,general,26,4
2022,9045438475,8,male,other,24,4
2022,9290819327,7,male,other,29,3
2022,9079062995,12,male,general,25,2
2022,9360309366,9,male,other,20,3
2022,9545147168,6,female,st,24,2
2022,9322245786,6,male,sc,29,5
2022,9192277890,9,female,sc,22,2
2022,9072345216,7,female,other,22,5
2022,9401572056,12,female,obc,27,2
2022,9273959283,3,male,st,30,3
2022,9068632474,6,male,obc,26,4
2022,9078267143,7,male,obc,21,2
2022,9492138775,7,male,obc,20,5
2022,9499940387,8,female,obc,23,3
2022,9327758407,3,female,general,28,3
2022,9246420883,8,female,obc,22,5
2022,9291727639,2,male,general,28,5
2022,9383764884,9,female,general,26,5
2022,9186110014,8,male,obc,21,2
2022,9238924861,12,female,obc,28,2
2022,9078560061,10,female,general,25,2
2022,9057104838,9,female,sc,25,3
2022,9003876015,2,male,other,22,5
2022,9276134137,6,female,general,22,5
2022,9212818810,5,female,sc,30,3
2022,9020088760,3,female,other,26,3
2022,9356954111,5,female,sc,24,4
2022,9447498191,1,male,other,20,4
2022,9467006902,12,male,obc,30,2
2022,9433001776,5,female,general,29,5
2022,9264562739,10,male,st,30,3
2022,9391887331,10,male,other,22,3
2022,9365044045,8,female,obc,23,2
2022,9107502765,11,male,obc,27,3
2022,9402865849,7,female,obc,20,4
2022,9125842050,3,male,obc,30,3
2022,9020301264,2,female,other,28,4
2022,9309368510,9,male,general,29,5
2022,9508119614,11,male,sc,30,3
2022,9068161976,10,male,st,28,4
2022,9573395268,10,female,obc,23,3
2022,9073950786,6,male,st,29,2
2022,9557730656,5,male,general,30,2
2022,9460450856,6,female,obc,20,3
2022,9412241339,9,female,other,22,5
2022,9184352541,7,male,st,20,3
2022,9419882434,3,female,sc,22,4
2022,9382681706,10,female,other,23,3
2022,9438217886,2,male,sc,28,3
2022,9230512332,3,female,obc,22,3
2022,9306921253,1,male,obc,25,2
2022,9152877183,11,male,st,21,5
2022,9516584743,12,female,sc,21,3
2022,9226699386,1,male,other,30,2
2022,9531275940,7,male,st,22,4
2022,9189587189,1,female,other,24,4
2022,9056960865,8,male,st,25,3
2022,9011319478,10,male,general,24,5
2022,9117496175,8,female,sc,28,5
2022,9577774935,1,male,other,23,5
2022,9173445781,5,male,sc,29,2
2022,9372643080,3,male,other,20,2
2022,9283644565,6,female,other,26,4
2022,9334453938,9,female,general,22,4
2022,9196548675,6,male,sc,26,2
2022,9449030240,8,female,general,21,4
2022,9428274220,4,male,obc,22,3
2022,9207535719,12,female,obc,28,5
2022,9095361371,9,male,other,23,3
2022,9399005949,4,male,general,24,5
2022,9220259019,11,male,other,30,5
2022,9153946191,2,female,sc,26,4
2022,9360976975,11,male,other,28,3
2022,9169972319,2,female,other,23,5
2022,9007454493,5,female,st,24,3
2022,9016825500,5,male,sc,27,3
2022,9222939763,12,male,sc,20,3
2022,9553521214,6,female,st,25,5
2022,9521824315,3,male,st,29,2
2022,9425008378,3,female,sc,27,4
2022,9425707569,9,female,other,30,4
2022,9467175231,4,male,sc,29,2
2022,9464333542,1,male,obc,29,2
2022,9216798936,7,female,general,23,2
2022,9451140056,10,male,obc,21,4
2022,9214842126,6,female,other,27,5
2022,9332166972,9,male,st,26,3
2022,9518198836,2,male,st,25,3
2022,9579524438,12,female,other,22,5
2022,9000934150,9,female,sc,27,5
2022,9560354345,4,female,obc,20,4
2022,9352643573,3,male,sc,30,4
2022,9310043813,12,female,sc,25,5
2022,9226530131,4,female,other,21,5
2022,9527092574,6,male,obc,27,5
2022,9441701894,7,male,sc,30,3
2022,9414412116,6,female,obc,28,4
2022,9477668547,6,male,obc,20,4
2022,9347922731,6,male,sc,25,2
2022,9525617259,8,female,general,27,2
2022,9475051756,11,female,sc,22,5
2022,9517285874,5,female,obc,30,4
2022,9329650577,4,female,other,22,2
2022,9148904560,4,male,general,26,2
2022,9280017848,6,female,other,20,3
2022,9457147547,11,male,other,21,3
2022,9205118594,11,male,obc,29,2
2022,9267287785,2,male,general,21,3
2022,9140734086,2,male,general,27,2
2022,9026159088,6,female,general,27,2
2022,9419145311,5,male,st,27,2
2022,9508553115,8,male,general,26,2
2022,9162159624,5,female,obc,29,5
2022,9229405431,4,male,st,30,2
2022,9549639524,12,female,st,26,4
2022,9328017860,5,female,sc,26,4
2022,9562206583,1,female,general,25,4
2022,9045931107,10,male,sc,22,2
2022,9188233927,6,male,st,24,3
2022,9493962566,2,male,obc,21,5
2022,9556863857,4,female,sc,28,4
2022,9100093708,4,female,st,29,2
2022,9368316322,12,male,other,26,4
2022,9411975019,6,male,sc,25,3
2022,9120069701,1,male,sc,20,2
2022,9043611349,11,female,st,22,4
2022,9440060185,5,male,st,30,3
2022,9195816432,8,male,sc,26,2
2022,9167554220,6,male,sc,22,4
2022,9230819682,11,male,sc,29,3
2022,9436989132,1,male,general,20,3
2022,9194564122,8,male,st,20,4
2022,9245868648,2,male,other,30,2
2022,9092614963,1,female,other,27,5
2022,9241122682,8,female,other,22,2
2022,9337988108,2,female,general,30,2
2022,9060995919,5,female,other,21,4
2022,9201056850,2,male,st,21,3
2022,9244447929,11,female,st,26,4
2022,9577347836,8,male,general,28,2
2022,9201446767,8,male,sc,30,3
2022,9525735567,11,female,other,30,2
2022,9255355917,2,male,sc,24,5
2022,9157728223,3,male,other,26,3
2022,9506629571,10,female,obc,22,2
2022,9163279552,11,female,st,24,3
2022,9528530782,12,female,st,25,4
2022,9108197025,2,male,sc,23,4
2022,9579723502,11,male,st,28,4
2022,9091184596,7,male,st,23,5
2022,9547300848,5,female,st,21,3
2022,9431120782,7,female,sc,23,5
2022,9240383946,11,female,general,28,2
2022,9355635087,9,male,other,22,2
2022,9059906341,10,female,other,28,2
2022,9456259410,1,male,st,20,4
2022,9282637354,11,male,other,25,5
2022,9377990848,11,female,general,20,5
2022,9124935509,10,male,general,26,2
2022,9472042836,6,female,other,27,5
2022,9493769446,11,male,general,27,3
2022,9420372880,7,male,other,30,4
2022,9148510200,1,male,sc,28,2
2022,9119988601,8,female,other,26,3
2022,9489396937,5,female,st,24,2
2022,9372204513,10,male,general,30,3
2022,9468670446,12,female,other,23,5
2022,9454227069,5,female,sc,21,2
2022,9126741876,5,male,sc,22,4
2022,9579031469,6,male,general,30,3
2022,9544751588,4,male,other,23,5
2022,9284846082,9,female,st,20,3
2022,9134536453,6,male,st,25,2
2022,9361988337,6,male,other,30,5
2022,9501676070,12,male,general,23,5
2022,9397542690,2,female,general,29,2
2022,9217770382,5,male,st,23,2
2022,9387014119,2,male,obc,20,5
2022,9411852188,1,female,other,29,3
2022,9132020362,4,female,sc,23,5
2022,9302151018,12,female,other,29,3
2022,9093039802,4,male,other,20,3
2022,9544806144,12,female,obc,24,3
2022,9244405652,2,male,other,29,4
2022,9143942615,6,male,obc,25,2
2022,9426556817,1,male,other,21,4
2022,9554110346,9,female,st,23,2
2022,9301296159,2,female,st,24,5
2022,9433245786,2,female,st,20,4
2022,9373628201,7,male,other,25,2
2022,9548613895,11,female,other,30,4
2022,9279975083,2,male,sc,20,2
2022,9291451819,8,female,other,30,3
2022,9464764797,8,female,general,22,3
2022,9454232572,8,male,sc,22,2
2022,9249058893,7,female,obc,30,5
2022,9491973256,9,female,general,25,2
2022,9181868779,6,female,other,22,2
2022,9546196489,9,male,obc,24,2
2022,9342341704,5,female,other,21,2
2022,9535395668,12,female,sc,28,4
2022,9039475654,2,female,general,25,4
2022,9438104264,2,female,sc,24,4
2022,9285641767,4,female,obc,28,2
2022,9358973052,5,female,st,30,2
2022,9417409232,10,male,sc,26,4
2022,9148993250,9,female,st,30,5
2022,9128436880,3,female,other,22,4
2022,9443756528,7,female,obc,27,5
2022,9372936720,3,male,st,26,4
2022,9530284474,1,male,obc,20,2
2022,9458741577,12,female,other,26,5
2022,9537994836,8,female,sc,21,2
2022,9494109496,9,female,sc,20,4
2022,9253974199,5,female,st,22,5
2022,9121966585,7,female,general,26,4
2022,9429805322,12,female,other,30,5
2022,9553055460,6,female,general,28,2
2022,9466515629,5,female,general,26,2
2022,9435868898,2,female,st,21,4
2022,9199517396,2,male,obc,22,5
2022,9281240644,2,male,general,20,2
2022,9464567606,7,female,other,23,3
2022,9341762126,6,male,other,23,2
2022,9340072698,5,male,obc,20,3
2022,9110947632,1,female,obc,21,3
2022,9526189492,12,female,other,20,2
2022,9005600334,2,male,st,27,3
2022,9322037427,6,male,other,23,5
2022,9072428099,3,male,obc,21,2
2022,9352291251,10,male,obc,28,5
2022,9285351836,8,female,other,30,4
2022,9037924639,10,male,general,28,2
2022,9387723546,10,male,general,26,4
2022,9403759562,3,male,other,26,4
2022,9369239971,3,female,sc,24,4
2022,9120713004,8,male,sc,23,2
2022,9168956457,5,female,sc,30,5
2022,9170473966,12,female,obc,30,4
2022,9290254521,1,male,obc,20,2
2022,9468250720,5,male,general,24,2
2022,9472608628,11,female,obc,30,4
2022,9097341629,6,female,st,23,3
2022,9187618888,11,male,obc,24,5
2022,9240750156,11,male,obc,30,5
2022,9317655253,6,male,other,26,4
2022,9207858364,10,female,sc,25,2
2022,9473739332,12,male,obc,22,3
2022,9009937796,11,female,other,23,5
2022,9207921865,2,male,st,24,5
2022,9269435379,11,female,st,24,4
2022,9120460900,10,male,obc,29,5
2022,9577023088,7,female,general,23,2
2022,9162067939,8,female,sc,22,5
2022,9463496636,9,female,other,22,5
2022,9018394966,11,female,sc,25,4
2022,9236662367,2,female,obc,27,4
2022,9362560062,8,female,obc,27,3
2022,9052037156,1,male,general,25,4
2022,9217688774,9,male,st,27,4
2022,9482471198,4,female,sc,23,5
2022,9401309814,4,male,other,20,2
2022,9224468456,3,female,general,24,4
2022,9565557028,1,male,sc,23,3
2022,9292495299,7,male,general,21,4
2022,9124202128,8,female,general,28,3
2022,9441939708,1,female,st,20,2
2022,9543760844,3,female,obc,20,5
2022,9270967362,9,female,sc,25,2
2022,9436246049,5,female,other,20,4
2022,9210459355,2,male,st,26,4
2022,9235516061,7,male,obc,20,4
2022,9367013354,1,female,other,23,3
2022,9416534684,3,female,general,25,4
2022,9335655444,6,male,other,24,4
2022,9054198289,11,male,general,22,4
2022,9114076930,12,male,sc,20,5
2022,9073833750,7,female,st,23,4
2022,9424997885,3,female,st,25,3
2022,9229548135,5,male,obc,29,3
2022,9524081414,12,male,st,20,5
2022,9033506384,5,female,general,30,2
2022,9463080144,10,female,other,30,3
2022,9057501051,2,female,other,29,3
2022,9084851239,4,male,other,29,5
2022,9496798140,1,male,other,27,3
2022,9438525213,2,female,sc,25,2
2022,9018968995,2,male,st,22,5
2022,9427529750,9,female,other,26,3
2022,9452534883,6,female,obc,25,2
2022,9157215291,9,female,obc,21,4
2022,9164110904,6,male,st,29,4
2022,9079620699,3,female,other,20,5
2022,9301380490,11,male,general,27,2
2022,9562567287,5,female,obc,26,5
2022,9253823774,7,female,other,20,2
2022,9304826400,1,female,general,23,4
2022,9007816938,8,male,st,26,3
2022,9089400168,5,female,sc,24,4
2022,9239843585,4,female,st,25,5
2022,9409941111,2,male,st,22,3
2022,9444160988,12,female,sc,24,2
2022,9136576453,3,female,st,23,5
2022,9298243833,4,female,sc,28,2
2022,9310704341,3,female,sc,25,2
2022,9205793385,6,male,sc,29,4
2022,9266312619,5,male,general,25,3
2022,9470747262,3,female,general,28,2
2022,9067739875,8,male,sc,27,5
2022,9220689075,3,male,sc,23,5
2022,9420698238,2,male,st,25,3
2022,9035703903,4,female,obc,24,2
2022,9362917777,4,female,obc,20,4
2022,9228695721,11,male,general,21,2
2022,9507973608,8,female,sc,23,5
2022,9308408695,7,male,st,24,5
2022,9308785295,10,male,obc,22,3
2022,9405436652,5,female,other,23,2
2022,9356237787,3,female,obc,24,4
2022,9023195625,8,male,general,20,2
2022,9161741018,1,female,general,25,5
2022,9183730099,8,female,general,20,3
2022,9003652066,1,female,general,22,3
2022,9519688283,7,female,sc,27,3
2022,9545378243,6,female,obc,30,2
2022,9012133557,5,male,st,25,3
2022,9304477083,10,male,obc,21,5
2022,9558204581,3,male,general,23,5
2022,9149158641,8,male,obc,24,4
2022,9459787773,9,female,general,22,3
2022,9489804874,9,male,st,22,3
2022,9060691813,8,male,other,27,2
2022,9488898753,3,female,st,25,5
2022,9241698761,12,male,general,20,2
2022,9284079281,1,male,st,23,3
2022,9081569293,9,male,other,20,5
2022,9356726131,10,male,st,26,3
2022,9221032591,2,female,sc,29,5
2022,9237427510,3,female,general,27,3
2022,9251476923,5,female,sc,24,2
2022,9017163123,11,female,general,27,4
2022,9529119726,4,male,obc,23,4
2022,9326171465,12,male,other,25,2
2022,9017574876,6,male,other,29,5
2022,9113473355,10,female,other,25,2
2022,9542816902,8,female,general,24,3
2022,9061584156,6,male,general,20,2
2022,9115849407,2,female,sc,28,3
2022,9107934826,7,female,st,23,3
2022,9453204572,3,female,other,22,3
2022,9485086731,7,female,obc,21,4
2022,9414024156,6,female,sc,29,4
2022,9108511400,8,female,obc,23,4
2022,9506041240,1,female,st,23,4
2022,9249056743,8,male,other,21,2
2022,9279761741,10,male,st,25,3
2022,9437050088,10,female,general,22,4
2022,9371982969,6,female,obc,21,4
2022,9453051250,5,male,st,22,4
2022,9042588394,10,female,obc,20,2
2022,9510855630,6,female,obc,29,2
2022,9480925872,9,male,general,22,2
2022,9040896875,11,female,sc,23,4
2022,9107771651,9,female,other,26,5
2022,9379426049,2,male,other,23,4
2022,9192364083,11,female,general,30,3
2022,9080696786,10,female,general,25,4
2022,9060991226,10,male,other,28,3
2022,9561281419,11,female,other,29,5
2022,9562944886,4,male,obc,29,5
2022,9314960252,5,female,sc,27,2
2022,9578084251,5,male,st,23,3
2022,9208785726,2,female,general,24,5
2022,9089102436,4,female,general,21,4
2022,9344089181,12,female,st,27,4
2022,9403940807,9,female,sc,29,5
2022,9530905910,10,female,general,28,2
2022,9369906834,12,female,sc,29,4
2022,9160525894,7,female,general,24,4
2022,9452195564,5,male,obc,25,3
2022,9367218953,9,female,obc,25,4
2022,9254238030,3,female,other,27,2
2022,9262192546,7,male,general,23,4
2022,9247034867,6,male,sc,27,2
2022,9028648592,5,male,sc,27,5
2022,9187139425,2,female,other,30,2
2022,9393343674,11,female,general,30,5
2022,9508737052,10,male,general,28,5
2022,9072145716,7,male,general,23,4
2022,9098532827,10,female,st,26,3
2022,9110915292,12,female,st,29,2
2022,9231689558,9,male,obc,28,5
2022,9304014970,11,female,st,27,5
2022,9551991410,11,female,sc,23,4
2022,9104985945,1,male,sc,26,5
2022,9326122895,11,male,other,21,5
2022,9071392173,4,male,other,29,4
2022,9192685963,5,male,general,20,4
2022,9479110081,6,female,st,22,4
2022,9070011611,2,male,st,22,3
2022,9097280536,5,female,other,27,5
2022,9473447557,7,male,sc,23,3
2022,9492298697,12,female,general,28,2
2022,9339362399,10,male,sc,28,3
2022,9126173961,6,female,other,20,3
2022,9164413019,3,male,other,22,4
2022,9381569892,10,female,sc,27,5
2022,9145979296,4,female,sc,28,4
2022,9304276359,5,male,other,26,2
2022,9021295013,9,female,obc,21,3
2022,9037359067,12,female,sc,21,2
2022,9240691372,12,male,obc,27,2
2022,9033208183,11,male,other,27,2
2022,9319809235,6,female,obc,30,3
2022,9406042971,9,female,other,25,4
2022,9227586765,1,male,obc,28,3
2022,9295123449,8,male,st,26,3
2022,9474993768,10,male,sc,29,3
2022,9269822717,9,female,general,29,4
2022,9364682033,12,female,obc,28,4
2022,9046851850,5,female,other,22,2
2022,9003548271,10,female,sc,26,3
2022,9193470358,2,female,obc,27,3
2022,9054505006,12,female,other,24,4
2022,9272416766,11,female,sc,27,2
2022,9502638354,1,female,general,20,4
2022,9352910136,2,male,obc,30,5
2022,9250888672,11,female,sc,29,3
2022,9235788575,7,female,other,22,2
2022,9084642591,3,male,other,30,4
2022,9137827980,10,female,sc,23,4
2022,9120752473,2,male,obc,20,5
2022,9137486774,4,female,sc,30,2
2022,9303666523,4,female,sc,25,4
2022,9513513946,7,male,obc,23,5
2022,9227842865,7,female,general,26,4
2022,9341641128,12,female,obc,25,5
2022,9248717885,12,female,other,28,3
2022,9266243350,10,male,general,20,3
2022,9237996136,10,male,other,28,4
2022,9109690828,1,female,st,24,5
2022,9179416124,6,male,sc,25,2
2022,9570274303,9,female,general,20,3
2022,9378846747,7,female,general,29,5
2022,9026568952,1,male,st,24,2
2022,9218939503,1,male,sc,28,4
2022,9546929671,6,female,sc,24,4
2022,9395237917,1,female,obc,30,4
2022,9404872615,10,female,st,30,3
2022,9435712927,8,female,sc,20,3
2022,9282540375,10,male,other,23,5
2022,9319874321,3,male,other,21,4
2022,9412250917,12,female,other,25,5
2022,9041416582,7,female,other,21,4
2022,9140001005,3,male,st,30,3
2022,9105448680,8,male,other,20,5
2022,9203869534,4,male,sc,21,5
2022,9360406045,6,female,sc,22,2
2022,9125995722,2,male,other,21,5
2022,9552564587,10,female,general,27,3
2022,9397762361,11,male,general,24,2
2022,9277333568,6,male,other,24,5
2022,9009616978,8,male,obc,23,3
2022,9428960495,10,female,st,25,3
2022,9093130624,1,male,general,30,4
2022,9398440746,9,female,sc,20,3
2022,9209150174,12,female,st,21,4
2022,9133949740,8,male,obc,21,2
2022,9000131246,4,female,obc,30,5
2022,9253849226,12,male,other,30,2
2022,9256120593,12,female,other,27,2
2022,9074133778,2,male,general,30,4
2022,9172617966,7,male,st,25,3
2022,9084026024,1,male,general,24,5
2022,9028649300,6,male,st,26,4
2022,9133229323,5,male,obc,20,3
2022,9390307161,3,male,other,27,2
2022,9461885978,12,female,other,30,3
2022,9511900332,7,female,other,29,2
2022,9379498041,11,female,obc,20,2
2022,9011189478,7,female,sc,24,5
2022,9108317637,9,female,sc,24,3
2022,9567916003,10,female,obc,21,5
2022,9483520375,5,female,other,28,4
2022,9108384866,11,male,st,27,2
2022,9545149142,4,male,obc,29,3
2022,9413291345,12,female,general,26,3
2022,9410859697,1,female,general,27,5
2022,9542636310,3,female,general,24,3
2022,9459423411,10,female,st,23,3
2022,9149010858,12,female,general,20,5
2022,9041471753,4,male,obc,30,5
2022,9379340439,1,female,sc,20,2
2022,9249399478,5,female,st,24,5
2022,9254875251,1,male,st,28,5
2022,9333953171,3,female,general,24,4
2022,9215488678,11,male,other,23,4
2022,9339159839,12,female,other,27,3
2022,9350045027,7,female,sc,25,5
2022,9320054385,6,female,general,30,2
2022,9276133646,6,female,other,29,5
2022,9392966720,11,male,sc,20,3
2022,9453476055,12,female,obc,26,4
2022,9409900985,3,male,sc,27,5
2022,9122090837,6,female,st,22,3
2022,9526202081,10,male,sc,30,3
2022,9246097274,10,male,obc,23,2
2022,9173102415,5,male,st,25,5
2022,9208773482,1,female,sc,29,3
2022,9468397769,4,female,other,22,3
2022,9386574857,9,female,st,29,3
2022,9316839242,11,female,general,30,2
2022,9011736274,4,female,st,25,2
2022,9406114830,5,female,obc,25,5
2022,9407438049,11,male,obc,22,5
2022,9050658884,2,female,other,30,5
2022,9234648248,6,male,sc,27,2
2022,9174997754,3,female,sc,25,3
2022,9429346437,2,male,general,30,2
2022,9002779157,6,female,sc,30,5
2022,9516062237,4,female,sc,29,3
2022,9479777494,10,female,general,20,3
2022,9157302203,1,female,sc,20,4
2022,9307661137,9,female,obc,23,3
2022,9293326410,8,female,other,29,2
2022,9329857100,4,male,obc,27,2
2022,9378294673,8,female,general,30,2
2022,9332882214,2,male,st,28,2
2022,9314699239,6,female,sc,29,5
2022,9463781963,5,male,obc,21,2
2022,9519118159,11,male,other,21,3
2022,9428081969,4,male,sc,30,5
2022,9201993721,2,male,obc,30,5
2022,9394427909,2,female,general,21,2
2022,9520137777,3,female,st,26,3
2022,9381708832,8,female,st,29,5
2022,9122214768,3,male,general,22,5
2022,9558905353,11,male,obc,26,5
2022,9130820844,4,female,general,27,4
2022,9050142613,5,male,other,22,2
2022,9508621964,10,female,st,22,5
2022,9374309341,5,female,obc,25,4
2022,9259921378,2,male,general,24,4
2022,9215182497,7,female,st,29,3
2022,9311682878,5,male,sc,22,2
2022,9191520213,11,female,other,28,4
2022,9247794512,12,female,st,28,3
2022,9212225871,1,male,obc,21,2
2022,9086420646,4,female,general,21,5
2022,9213186989,3,female,general,28,2
2022,9270978815,6,male,general,27,4
2022,9165434955,9,male,sc,23,3
2022,9083712633,9,female,obc,21,4
2022,9573726536,2,male,st,26,5
2022,9380626765,2,female,general,27,4
2022,9399236466,9,male,other,30,4
2022,9223275876,8,female,other,22,5
2022,9179196591,5,female,sc,25,4
2022,9476295385,6,male,obc,22,5
2022,9045673529,12,male,general,26,4
2022,9294834240,6,female,general,24,3
2022,9250000411,9,female,st,26,4
2022,9366536439,9,female,st,27,2
2022,9452792201,5,male,general,27,5
2022,9134693902,8,male,st,29,5
2022,9455644980,8,male,general,25,2
2022,9347872186,2,male,other,27,5
2022,9375002494,6,male,general,22,4
2022,9371216510,5,female,sc,26,4
2022,9084833649,4,male,obc,22,4
2022,9350539720,11,female,other,27,3
2022,9283850794,5,male,st,23,4
2022,9116280725,6,male,sc,25,3
2022,9237720715,11,female,st,21,3
2022,9069882972,9,male,sc,29,2
2022,9472114235,9,female,obc,28,3
2022,9141584815,6,male,obc,29,2
2022,9348176839,4,female,other,26,4
2022,9494127024,9,male,obc,28,5
2022,9409551424,9,female,st,21,5
2022,9572821794,10,female,other,30,2
2022,9148713684,6,female,st,25,4
2022,9312966343,9,female,sc,27,5
2022,9037844325,9,male,other,25,5
2022,9159465363,8,female,st,26,3
2022,9396881963,5,female,st,30,5
2022,9212619865,8,female,st,23,4
2022,9575476171,12,female,obc,24,4
2022,9495042317,7,female,general,25,2
2022,9262141047,12,female,other,21,2
2022,9165958542,12,female,st,26,3
2022,9266065327,9,male,obc,27,3
2022,9297627254,6,male,obc,29,2
2022,9366481521,3,female,other,24,3
2022,9577747663,8,male,st,21,2
2022,9475494461,11,female,sc,25,2
2022,9019337201,6,female,sc,22,5
2022,9464529694,6,female,st,26,5
2022,9350291310,7,male,obc,26,2
2022,9521425527,12,female,st,24,5
2022,9008356943,6,female,sc,30,4
2022,9452122052,3,female,other,30,2
2022,9406891883,6,male,st,24,5
2022,9256282320,12,male,st,28,3
2022,9108613511,10,female,other,24,2
2022,9250993607,1,female,other,22,2
2022,9525343987,10,female,sc,21,3
2022,9284719400,9,female,st,24,5
2022,9016499210,11,male,obc,23,5
2022,9139200476,9,male,st,24,4
2022,9524848081,1,male,general,20,5
2022,9439587703,10,male,sc,30,2
2022,9066434705,6,female,other,21,5
2022,9184454653,12,male,obc,26,2
2022,9286008530,8,female,st,26,3
2022,9282372479,4,female,obc,27,5
2022,9131680461,11,male,other,21,3
2022,9316391482,2,male,other,28,2
2022,9242053281,8,male,general,29,5
2022,9415606346,7,male,st,20,4
2022,9269408066,2,female,st,20,5
2022,9262526275,3,female,sc,28,5
2022,9224550628,8,male,st,29,2
2022,9416330688,11,male,obc,28,3
2022,9500485684,2,female,general,27,4
2022,9369188707,11,male,obc,23,4
2022,9495115622,10,male,obc,20,2
2022,9144272040,4,male,other,21,3
2022,9549473579,5,male,sc,21,3
2022,9282814459,10,male,general,30,5
2022,9534211919,11,female,obc,20,5
2022,9272101764,4,male,other,26,2
2022,9479024199,9,female,st,23,2
2022,9560672528,3,female,obc,27,4
2022,9532173304,7,male,st,24,3
2022,9472531199,6,male,sc,21,5
