academic_year,school_id,grade,gender,student_category,students_enrolled,cwsn_enrolment
2022-12-20,9457,3,Male,senior_secondary,72,5
2022-12-20,9242,3,Female,upper_primary,20,4
2022-12-20,9027,9,Male,upper_primary,24,2
2022-12-20,9099,1,Female,senior_secondary,50,3
2022-12-20,9077,2,Male,secondary,25,4
2022-12-20,9228,4,Female,primary,24,4
2022-12-20,9315,7,Female,senior_secondary,22,2
2022-12-20,9036,1,Male,senior_secondary,66,3
2022-12-20,9004,2,Female,secondary,25,2
2022-12-20,9235,11,Male,primary,68,2
2022-12-20,9459,5,Male,primary,44,2
2022-12-20,9206,8,Female,senior_secondary,89,2
2022-12-20,9315,9,Male,upper_primary,53,3
2022-12-20,9578,1,Female,primary,68,4
2022-12-20,9141,9,Male,senior_secondary,38,5
2022-12-20,9519,12,Female,primary,43,2
2022-12-20,9371,9,Male,secondary,46,4
2022-12-20,9088,11,Male,upper_primary,33,5
2022-12-20,9187,10,Female,primary,73,3
2022-12-20,9130,2,Female,secondary,41,3
2022-12-20,9408,8,Female,upper_primary,21,3
2022-12-20,9146,11,Male,upper_primary,80,2
2022-12-20,9133,8,Female,secondary,27,3
2022-12-20,9226,12,Male,senior_secondary,20,2
2022-12-20,9564,3,Female,senior_secondary,57,4
2022-12-20,9004,9,Male,upper_primary,44,5
2022-12-20,9251,12,Male,primary,34,3
2022-12-20,9467,3,Male,senior_secondary,68,4
2022-12-20,9385,8,Female,secondary,79,3
2022-12-20,9114,6,Male,secondary,81,2
2022-12-20,9003,10,Female,senior_secondary,72,4
2022-12-20,9143,11,Male,secondary,35,3
2022-12-20,9504,4,Male,secondary,91,2
2022-12-20,9528,7,Male,primary,39,2
2022-12-20,9205,9,Female,primary,80,4
2022-12-20,9017,11,Male,upper_primary,29,4
2022-12-20,9034,5,Female,upper_primary,86,2
2022-12-20,9357,8,Female,secondary,55,2
2022-12-20,9085,10,Male,secondary,45,4
2022-12-20,9501,8,Female,upper_primary,57,3
2022-12-20,9406,12,Male,primary,98,3
2022-12-20,9333,11,Female,senior_secondary,75,2
2022-12-20,9489,10,Female,secondary,29,5
2022-12-20,9168,7,Male,primary,80,5
2022-12-20,9288,2,Male,primary,26,4
2022-12-20,9336,2,Female,upper_primary,96,2
2022-12-20,9474,6,Male,upper_primary,79,2
2022-12-20,9390,8,Female,upper_primary,27,3
2022-12-20,9218,3,Female,secondary,86,2
2022-12-20,9471,10,Male,senior_secondary,86,5
2022-12-20,9369,11,Male,senior_secondary,93,3
2022-12-20,9106,9,Female,secondary,24,4
2022-12-20,9413,7,Male,senior_secondary,26,4
2022-12-20,9308,6,Male,senior_secondary,31,4
2022-12-20,9491,9,Male,secondary,99,4
2022-12-20,9558,3,Female,primary,27,3
2022-12-20,9437,9,Male,primary,51,3
2022-12-20,9097,4,Male,senior_secondary,67,4
2022-12-20,9501,3,Male,secondary,60,2
2022-12-20,9085,3,Female,senior_secondary,36,2
2022-12-20,9095,5,Female,primary,90,3
2022-12-20,9381,12,Male,primary,85,4
2022-12-20,9257,3,Female,secondary,38,5
2022-12-20,9538,11,Male,primary,99,2
2022-12-20,9277,7,Male,senior_secondary,36,5
2022-12-20,9061,2,Male,upper_primary,58,3
2022-12-20,9316,1,Male,senior_secondary,57,5
2022-12-20,9483,12,Male,upper_primary,80,5
2022-12-20,9013,12,Male,senior_secondary,34,5
2022-12-20,9416,9,Female,upper_primary,50,4
2022-12-20,9459,2,Female,senior_secondary,35,4
2022-12-20,9167,7,Female,upper_primary,78,4
2022-12-20,9391,5,Male,upper_primary,71,3
2022-12-20,9430,12,Male,senior_secondary,45,3
2022-12-20,9043,10,Male,secondary,38,4
2022-12-20,9103,3,Male,primary,62,3
2022-12-20,9064,4,Male,primary,23,2
2022-12-20,9454,2,Female,primary,45,4
2022-12-20,9108,3,Female,senior_secondary,98,4
2022-12-20,9099,2,Male,senior_secondary,30,4
2022-12-20,9515,7,Male,upper_primary,84,4
2022-12-20,9485,6,Male,upper_primary,40,5
2022-12-20,9464,10,Female,senior_secondary,32,4
2022-12-20,9162,10,Male,senior_secondary,56,3
2022-12-20,9571,8,Female,primary,71,3
2022-12-20,9560,4,Female,primary,37,5
2022-12-20,9302,8,Male,upper_primary,46,2
2022-12-20,9053,6,Male,upper_primary,69,2
2022-12-20,9178,8,Male,secondary,86,2
2022-12-20,9423,5,Female,secondary,65,4
2022-12-20,9545,3,Male,senior_secondary,99,2
2022-12-20,9054,4,Female,upper_primary,85,5
2022-12-20,9002,12,Female,primary,85,5
2022-12-20,9370,4,Female,upper_primary,52,5
2022-12-20,9482,10,Female,upper_primary,53,2
2022-12-20,9451,2,Female,primary,85,5
2022-12-20,9573,12,Female,primary,35,2
2022-12-20,9238,7,Male,secondary,36,2
2022-12-20,9447,1,Female,senior_secondary,65,2
2022-12-20,9364,8,Female,secondary,28,3
2022-12-20,9159,3,Male,secondary,53,2
2022-12-20,9542,9,Female,secondary,56,2
2022-12-20,9333,3,Male,primary,58,3
2022-12-20,9104,8,Female,senior_secondary,92,5
2022-12-20,9274,7,Male,primary,49,3
2022-12-20,9205,10,Female,primary,21,5
2022-12-20,9483,10,Female,upper_primary,91,5
2022-12-20,9387,6,Female,upper_primary,44,3
2022-12-20,9314,12,Female,secondary,62,2
2022-12-20,9415,9,Female,secondary,35,3
2022-12-20,9534,5,Female,upper_primary,43,4
2022-12-20,9168,3,Female,secondary,99,5
2022-12-20,9375,6,Male,upper_primary,63,4
2022-12-20,9375,10,Female,primary,46,2
2022-12-20,9450,9,Female,secondary,78,4
2022-12-20,9237,5,Male,senior_secondary,30,2
2022-12-20,9232,5,Male,upper_primary,97,5
2022-12-20,9395,2,Female,senior_secondary,28,5
2022-12-20,9517,6,Male,secondary,100,3
2022-12-20,9303,4,Male,senior_secondary,97,3
2022-12-20,9142,8,Female,upper_primary,38,2
2022-12-20,9148,9,Female,senior_secondary,29,3
2022-12-20,9435,6,Female,senior_secondary,28,5
2022-12-20,9370,3,Female,upper_primary,68,5
2022-12-20,9196,11,Female,secondary,66,4
2022-12-20,9460,12,Male,upper_primary,41,3
2022-12-20,9517,4,Male,primary,57,4
2022-12-20,9279,6,Male,senior_secondary,23,4
2022-12-20,9169,4,Male,secondary,81,5
2022-12-20,9424,12,Female,upper_primary,42,4
2022-12-20,9351,12,Male,primary,63,2
2022-12-20,9084,11,Female,senior_secondary,71,3
2022-12-20,9199,1,Female,upper_primary,33,3
2022-12-20,9038,2,Female,senior_secondary,38,4
2022-12-20,9553,4,Male,upper_primary,46,3
2022-12-20,9084,9,Female,primary,35,2
2022-12-20,9397,9,Male,primary,32,2
2022-12-20,9133,1,Female,secondary,41,5
2022-12-20,9082,7,Male,secondary,96,3
2022-12-20,9216,11,Male,secondary,26,2
2022-12-20,9550,6,Female,senior_secondary,91,5
2022-12-20,9566,11,Female,senior_secondary,50,5
2022-12-20,9205,12,Male,primary,80,4
2022-12-20,9053,2,Male,upper_primary,45,4
2022-12-20,9533,7,Female,upper_primary,25,2
2022-12-20,9212,10,Female,upper_primary,33,3
2022-12-20,9216,12,Female,upper_primary,76,5
2022-12-20,9504,3,Female,primary,62,3
2022-12-20,9553,1,Female,upper_primary,69,2
2022-12-20,9530,12,Male,upper_primary,95,5
2022-12-20,9530,10,Female,senior_secondary,37,3
2022-12-20,9101,10,Male,senior_secondary,74,5
2022-12-20,9353,11,Female,senior_secondary,99,4
2022-12-20,9013,1,Female,upper_primary,46,4
2022-12-20,9290,7,Female,senior_secondary,82,2
2022-12-20,9492,3,Female,upper_primary,49,2
2022-12-20,9264,11,Female,senior_secondary,24,4
2022-12-20,9266,6,Male,primary,23,5
2022-12-20,9057,3,Female,senior_secondary,46,2
2022-12-20,9571,2,Female,upper_primary,76,5
2022-12-20,9275,11,Female,senior_secondary,55,2
2022-12-20,9488,7,Female,upper_primary,78,4
2022-12-20,9323,11,Male,upper_primary,56,4
2022-12-20,9373,2,Female,primary,83,4
2022-12-20,9424,6,Male,upper_primary,30,3
2022-12-20,9096,2,Male,senior_secondary,49,4
2022-12-20,9441,10,Female,senior_secondary,48,3
2022-12-20,9154,9,Male,senior_secondary,45,5
2022-12-20,9398,7,Female,secondary,80,2
2022-12-20,9112,7,Male,primary,60,5
2022-12-20,9358,4,Female,upper_primary,47,3
2022-12-20,9054,11,Female,primary,99,4
2022-12-20,9192,3,Male,secondary,62,3
2022-12-20,9502,3,Male,upper_primary,23,2
2022-12-20,9111,3,Female,upper_primary,98,2
2022-12-20,9098,4,Female,senior_secondary,44,5
2022-12-20,9375,3,Female,upper_primary,56,5
2022-12-20,9315,7,Male,secondary,67,4
2022-12-20,9178,7,Male,senior_secondary,94,4
2022-12-20,9294,7,Female,senior_secondary,97,3
2022-12-20,9408,7,Female,primary,77,5
2022-12-20,9370,7,Male,secondary,23,4
2022-12-20,9187,10,Male,upper_primary,85,4
2022-12-20,9474,4,Female,primary,100,4
2022-12-20,9517,6,Male,upper_primary,80,3
2022-12-20,9392,1,Male,senior_secondary,25,4
2022-12-20,9188,12,Male,primary,80,5
2022-12-20,9518,7,Male,primary,64,5
2022-12-20,9395,1,Male,secondary,64,3
2022-12-20,9059,9,Male,primary,31,4
2022-12-20,9454,7,Male,senior_secondary,50,5
2022-12-20,9000,1,Female,primary,34,5
2022-12-20,9456,3,Male,senior_secondary,95,3
2022-12-20,9117,5,Female,senior_secondary,29,3
2022-12-20,9085,6,Female,primary,21,3
2022-12-20,9223,3,Female,upper_primary,89,4
2022-12-20,9445,6,Male,primary,88,5
2022-12-20,9474,1,Female,senior_secondary,94,4
2022-12-20,9276,9,Male,primary,90,5
2022-12-20,9277,3,Female,primary,54,2
2022-12-20,9536,7,Male,secondary,96,3
2022-12-20,9151,10,Female,secondary,21,4
2022-12-20,9421,7,Male,senior_secondary,89,3
2022-12-20,9316,10,Female,secondary,99,5
2022-12-20,9071,12,Female,secondary,92,2
2022-12-20,9321,11,Female,upper_primary,44,4
2022-12-20,9526,2,Male,secondary,24,3
2022-12-20,9394,7,Male,upper_primary,30,3
2022-12-20,9383,1,Male,senior_secondary,90,5
2022-12-20,9038,10,Male,senior_secondary,74,4
2022-12-20,9499,6,Male,upper_primary,33,5
2022-12-20,9080,9,Female,secondary,34,4
2022-12-20,9014,5,Male,senior_secondary,68,3
2022-12-20,9440,2,Male,upper_primary,74,4
2022-12-20,9241,10,Male,upper_primary,83,2
2022-12-20,9169,12,Female,upper_primary,79,3
2022-12-20,9000,3,Female,senior_secondary,74,2
2022-12-20,9536,7,Male,primary,72,5
2022-12-20,9206,3,Female,upper_primary,35,5
2022-12-20,9545,12,Female,primary,47,2
2022-12-20,9325,9,Female,senior_secondary,61,3
2022-12-20,9091,12,Male,secondary,69,2
2022-12-20,9060,8,Female,secondary,99,3
2022-12-20,9139,4,Male,senior_secondary,65,2
2022-12-20,9108,11,Female,primary,20,4
2022-12-20,9194,9,Male,secondary,100,2
2022-12-20,9365,1,Male,senior_secondary,33,4
2022-12-20,9549,8,Male,upper_primary,53,3
2022-12-20,9372,10,Male,secondary,33,3
2022-12-20,9013,10,Male,primary,47,3
2022-12-20,9394,6,Female,senior_secondary,40,2
2022-12-20,9358,7,Female,upper_primary,47,3
2022-12-20,9327,12,Male,primary,44,5
2022-12-20,9092,4,Male,secondary,29,3
2022-12-20,9171,11,Female,secondary,73,3
2022-12-20,9045,7,Female,primary,42,3
2022-12-20,9212,7,Male,upper_primary,46,4
2022-12-20,9158,4,Male,secondary,79,3
2022-12-20,9339,5,Female,primary,40,4
2022-12-20,9374,8,Male,secondary,29,3
2022-12-20,9426,3,Female,primary,84,5
2022-12-20,9494,8,Male,primary,64,4
2022-12-20,9086,4,Male,senior_secondary,52,3
2022-12-20,9050,2,Male,senior_secondary,86,2
2022-12-20,9196,10,Male,secondary,22,5
2022-12-20,9493,3,Female,senior_secondary,77,4
2022-12-20,9363,4,Male,primary,94,2
2022-12-20,9255,7,Male,upper_primary,25,3
2022-12-20,9387,3,Male,senior_secondary,85,2
2022-12-20,9156,6,Male,upper_primary,63,4
2022-12-20,9239,4,Female,upper_primary,64,3
2022-12-20,9545,6,Female,secondary,61,3
2022-12-20,9041,9,Male,secondary,33,4
2022-12-20,9133,4,Female,primary,100,5
2022-12-20,9195,3,Female,secondary,86,3
2022-12-20,9520,9,Male,senior_secondary,29,5
2022-12-20,9564,1,Male,primary,23,3
2022-12-20,9151,1,Female,senior_secondary,67,2
2022-12-20,9538,6,Female,secondary,79,5
2022-12-20,9181,1,Female,primary,30,5
2022-12-20,9023,4,Female,primary,92,4
2022-12-20,9380,12,Male,upper_primary,83,4
2022-12-20,9381,8,Male,primary,98,4
2022-12-20,9249,5,Male,senior_secondary,81,3
2022-12-20,9171,4,Female,upper_primary,20,5
2022-12-20,9575,1,Male,upper_primary,44,3
2022-12-20,9494,9,Female,upper_primary,61,3
2022-12-20,9242,11,Male,primary,84,5
2022-12-20,9339,12,Female,upper_primary,85,4
2022-12-20,9127,12,Female,senior_secondary,25,4
2022-12-20,9027,6,Female,primary,70,2
2022-12-20,9267,2,Male,upper_primary,64,4
2022-12-20,9551,6,Male,primary,100,2
2022-12-20,9030,4,Male,senior_secondary,81,2
2022-12-20,9453,2,Male,senior_secondary,80,2
2022-12-20,9281,11,Female,primary,95,2
2022-12-20,9358,10,Male,secondary,75,5
2022-12-20,9445,12,Male,upper_primary,90,2
2022-12-20,9560,10,Male,secondary,53,4
2022-12-20,9062,4,Female,senior_secondary,29,4
2022-12-20,9454,6,Female,senior_secondary,66,3
2022-12-20,9136,8,Male,primary,38,4
2022-12-20,9129,11,Female,senior_secondary,57,3
2022-12-20,9561,10,Male,upper_primary,96,2
2022-12-20,9129,7,Female,secondary,100,2
2022-12-20,9294,11,Male,senior_secondary,46,2
2022-12-20,9288,5,Female,upper_primary,65,3
2022-12-20,9348,10,Female,senior_secondary,90,3
2022-12-20,9461,11,Female,secondary,95,4
2022-12-20,9513,11,Female,upper_primary,46,2
2022-12-20,9324,2,Male,upper_primary,29,5
2022-12-20,9571,12,Female,senior_secondary,54,3
2022-12-20,9397,6,Female,senior_secondary,63,3
2022-12-20,9157,8,Male,primary,62,3
2022-12-20,9334,9,Female,secondary,60,5
2022-12-20,9449,6,Male,secondary,70,3
2022-12-20,9268,3,Male,secondary,91,4
2022-12-20,9410,8,Female,secondary,52,2
2022-12-20,9481,12,Male,senior_secondary,90,2
2022-12-20,9297,8,Female,primary,44,3
2022-12-20,9263,12,Female,primary,89,3
2022-12-20,9480,12,Female,primary,81,5
2022-12-20,9270,1,Male,senior_secondary,85,5
2022-12-20,9316,9,Male,primary,65,5
2022-12-20,9012,7,Male,senior_secondary,28,3
2022-12-20,9100,7,Female,upper_primary,77,2
2022-12-20,9119,5,Female,senior_secondary,61,2
2022-12-20,9003,6,Male,senior_secondary,42,3
2022-12-20,9571,4,Female,secondary,93,2
2022-12-20,9057,10,Female,primary,22,3
2022-12-20,9478,8,Female,senior_secondary,37,2
2022-12-20,9498,1,Male,secondary,57,4
2022-12-20,9259,5,Female,primary,68,4
2022-12-20,9169,10,Male,senior_secondary,46,3
2022-12-20,9497,10,Female,upper_primary,66,5
2022-12-20,9490,12,Female,secondary,73,3
2022-12-20,9204,10,Male,senior_secondary,41,2
2022-12-20,9328,11,Female,senior_secondary,44,2
2022-12-20,9212,4,Female,senior_secondary,64,2
2022-12-20,9064,5,Male,secondary,36,2
2022-12-20,9286,1,Male,secondary,39,5
2022-12-20,9192,1,Female,senior_secondary,87,4
2022-12-20,9443,8,Female,secondary,57,2
2022-12-20,9044,5,Male,secondary,51,4
2022-12-20,9065,2,Male,secondary,41,5
2022-12-20,9518,3,Male,upper_primary,92,2
2022-12-20,9163,11,Male,primary,48,4
2022-12-20,9579,1,Male,senior_secondary,87,5
2022-12-20,9010,11,Male,senior_secondary,92,2
2022-12-20,9343,10,Female,primary,47,2
2022-12-20,9003,11,Female,secondary,73,4
2022-12-20,9233,3,Male,upper_primary,100,5
2022-12-20,9476,2,Male,primary,100,3
2022-12-20,9363,3,Male,primary,33,3
2022-12-20,9309,5,Male,primary,61,5
2022-12-20,9354,11,Male,primary,53,2
2022-12-20,9122,10,Female,primary,90,3
2022-12-20,9257,11,Female,upper_primary,88,4
2022-12-20,9328,7,Female,upper_primary,44,5
2022-12-20,9148,5,Female,senior_secondary,100,5
2022-12-20,9297,5,Female,secondary,40,4
2022-12-20,9220,9,Female,upper_primary,48,2
2022-12-20,9306,3,Female,secondary,37,3
2022-12-20,9562,2,Male,senior_secondary,20,5
2022-12-20,9453,7,Female,primary,38,2
2022-12-20,9501,5,Male,senior_secondary,50,3
2022-12-20,9191,9,Male,senior_secondary,69,2
2022-12-20,9129,1,Female,upper_primary,81,3
2022-12-20,9227,11,Male,upper_primary,57,5
2022-12-20,9486,4,Female,primary,32,5
2022-12-20,9317,11,Male,primary,46,2
2022-12-20,9459,3,Male,senior_secondary,89,5
2022-12-20,9571,5,Female,secondary,77,2
2022-12-20,9199,7,Female,primary,53,4
2022-12-20,9086,7,Female,senior_secondary,68,5
2022-12-20,9083,5,Female,primary,99,2
2022-12-20,9147,3,Male,senior_secondary,55,5
2022-12-20,9287,2,Male,primary,40,2
2022-12-20,9354,1,Male,primary,81,2
2022-12-20,9205,9,Female,primary,37,3
2022-12-20,9129,9,Male,primary,76,3
2022-12-20,9031,6,Male,senior_secondary,83,3
2022-12-20,9068,1,Female,upper_primary,64,2
2022-12-20,9088,2,Female,primary,94,5
2022-12-20,9335,11,Female,primary,34,3
2022-12-20,9092,2,Male,secondary,100,5
2022-12-20,9222,3,Male,senior_secondary,30,3
2022-12-20,9217,12,Male,upper_primary,89,3
2022-12-20,9579,6,Female,primary,42,5
2022-12-20,9154,1,Female,upper_primary,88,5
2022-12-20,9297,1,Female,upper_primary,49,3
2022-12-20,9216,11,Male,senior_secondary,57,2
2022-12-20,9438,1,Female,upper_primary,35,4
2022-12-20,9351,2,Male,senior_secondary,54,4
2022-12-20,9119,3,Male,primary,48,3
2022-12-20,9258,10,Female,senior_secondary,50,3
2022-12-20,9031,6,Male,secondary,57,3
2022-12-20,9376,3,Male,secondary,90,2
2022-12-20,9216,6,Female,senior_secondary,79,5
2022-12-20,9098,2,Female,upper_primary,71,4
2022-12-20,9568,8,Female,secondary,88,3
2022-12-20,9416,4,Female,secondary,40,5
2022-12-20,9499,5,Male,upper_primary,69,5
2022-12-20,9405,4,Male,senior_secondary,43,5
2022-12-20,9333,5,Female,upper_primary,74,2
2022-12-20,9523,6,Male,secondary,44,4
2022-12-20,9507,3,Female,upper_primary,96,2
2022-12-20,9381,7,Male,primary,58,2
2022-12-20,9235,5,Male,primary,69,3
2022-12-20,9464,5,Male,senior_secondary,78,2
2022-12-20,9334,5,Male,secondary,68,4
2022-12-20,9437,2,Female,secondary,20,5
2022-12-20,9314,2,Male,secondary,27,3
2022-12-20,9353,2,Female,senior_secondary,20,2
2022-12-20,9291,8,Male,secondary,26,2
2022-12-20,9515,12,Female,upper_primary,69,2
2022-12-20,9377,12,Male,primary,95,4
2022-12-20,9389,12,Female,senior_secondary,71,2
2022-12-20,9270,6,Male,senior_secondary,66,2
2022-12-20,9013,5,Female,upper_primary,45,2
2022-12-20,9370,8,Female,upper_primary,99,5
2022-12-20,9177,4,Male,senior_secondary,27,3
2022-12-20,9166,2,Male,secondary,75,3
2022-12-20,9270,7,Female,upper_primary,53,5
2022-12-20,9462,10,Male,secondary,84,4
2022-12-20,9154,1,Female,senior_secondary,38,4
2022-12-20,9119,3,Male,upper_primary,56,3
2022-12-20,9367,4,Female,primary,41,2
2022-12-20,9059,12,Male,upper_primary,63,3
2022-12-20,9294,9,Male,primary,84,4
2022-12-20,9559,6,Male,secondary,61,2
2022-12-20,9511,12,Male,primary,30,3
2022-12-20,9362,12,Female,senior_secondary,41,5
2022-12-20,9200,1,Female,secondary,44,5
2022-12-20,9304,4,Male,senior_secondary,23,3
2022-12-20,9539,8,Male,primary,62,3
2022-12-20,9364,3,Male,secondary,26,2
2022-12-20,9480,9,Female,senior_secondary,94,2
2022-12-20,9485,8,Female,primary,69,3
2022-12-20,9015,2,Male,primary,24,5
2022-12-20,9272,8,Female,primary,28,4
2022-12-20,9492,1,Female,upper_primary,64,2
2022-12-20,9504,10,Male,senior_secondary,53,2
2022-12-20,9402,3,Female,primary,48,2
2022-12-20,9175,8,Female,upper_primary,64,4
2022-12-20,9369,10,Female,primary,74,4
2022-12-20,9142,12,Male,senior_secondary,80,4
2022-12-20,9168,3,Female,secondary,47,3
2022-12-20,9257,12,Female,senior_secondary,49,3
2022-12-20,9579,7,Female,senior_secondary,24,5
2022-12-20,9364,5,Female,upper_primary,85,4
2022-12-20,9568,11,Female,senior_secondary,84,5
2022-12-20,9441,6,Female,upper_primary,48,5
2022-12-20,9503,2,Male,primary,46,5
2022-12-20,9172,3,Male,upper_primary,88,5
2022-12-20,9154,2,Male,upper_primary,53,5
2022-12-20,9083,10,Female,primary,22,4
2022-12-20,9321,10,Female,secondary,74,5
2022-12-20,9551,3,Male,primary,61,5
2022-12-20,9391,6,Female,primary,31,3
2022-12-20,9021,10,Female,secondary,66,4
2022-12-20,9411,12,Male,senior_secondary,21,2
2022-12-20,9446,7,Male,senior_secondary,91,4
2022-12-20,9253,10,Female,senior_secondary,80,2
2022-12-20,9215,5,Female,senior_secondary,47,5
2022-12-20,9050,7,Male,primary,35,3
2022-12-20,9469,11,Male,senior_secondary,36,5
2022-12-20,9437,10,Male,secondary,35,4
2022-12-20,9055,9,Female,secondary,67,2
2022-12-20,9295,8,Female,secondary,56,5
2022-12-20,9015,12,Female,primary,95,2
2022-12-20,9051,10,Female,upper_primary,31,2
2022-12-20,9433,10,Male,senior_secondary,60,2
2022-12-20,9232,9,Male,senior_secondary,43,2
2022-12-20,9270,12,Male,secondary,33,4
2022-12-20,9341,8,Male,upper_primary,20,4
2022-12-20,9214,12,Female,upper_primary,67,3
2022-12-20,9021,2,Male,upper_primary,70,3
2022-12-20,9537,3,Female,primary,93,2
2022-12-20,9312,2,Male,secondary,100,5
2022-12-20,9016,7,Male,secondary,94,4
2022-12-20,9098,11,Male,secondary,44,5
2022-12-20,9393,12,Male,primary,61,2
2022-12-20,9042,3,Male,senior_secondary,77,5
2022-12-20,9135,8,Male,secondary,60,5
2022-12-20,9460,10,Female,senior_secondary,29,3
2022-12-20,9289,3,Female,upper_primary,100,4
2022-12-20,9276,4,Male,senior_secondary,23,4
2022-12-20,9209,5,Female,senior_secondary,69,4
2022-12-20,9579,1,Male,senior_secondary,44,5
2022-12-20,9485,2,Female,secondary,77,4
2022-12-20,9190,4,Female,secondary,24,5
2022-12-20,9089,9,Male,senior_secondary,21,4
2022-12-20,9397,3,Female,upper_primary,71,5
2022-12-20,9231,10,Male,primary,54,4
2022-12-20,9249,9,Male,upper_primary,39,3
2022-12-20,9450,11,Male,upper_primary,61,5
2022-12-20,9565,8,Female,senior_secondary,66,3
2022-12-20,9409,6,Male,primary,79,2
2022-12-20,9383,1,Female,upper_primary,60,3
2022-12-20,9106,12,Female,primary,85,5
2022-12-20,9513,3,Female,primary,62,4
2022-12-20,9248,7,Female,senior_secondary,46,3
2022-12-20,9236,6,Female,upper_primary,82,3
2022-12-20,9252,5,Male,secondary,92,4
2022-12-20,9134,2,Female,upper_primary,51,5
2022-12-20,9090,7,Male,upper_primary,97,4
2022-12-20,9428,6,Male,primary,24,5
2022-12-20,9000,12,Male,secondary,35,4
2022-12-20,9392,9,Female,senior_secondary,57,5
2022-12-20,9343,3,Male,senior_secondary,65,5
2022-12-20,9159,5,Female,primary,59,2
2022-12-20,9362,7,Male,senior_secondary,22,2
2022-12-20,9464,4,Male,secondary,60,2
2022-12-20,9286,2,Male,upper_primary,91,2
