academic_year,school_id,grade,total_teachers,students_enrolled
2022-12-20,9344,2,10,65
2022-12-20,9410,9,14,99
2022-12-20,9513,11,14,61
2022-12-20,9355,8,15,38
2022-12-20,9071,3,10,93
2022-12-20,9339,1,13,47
2022-12-20,9005,10,5,90
2022-12-20,9549,4,13,87
2022-12-20,9038,2,7,68
2022-12-20,9210,11,5,42
2022-12-20,9346,2,6,67
2022-12-20,9458,1,8,84
2022-12-20,9431,2,12,32
2022-12-20,9129,6,10,56
2022-12-20,9302,11,15,39
2022-12-20,9180,4,12,67
2022-12-20,9528,10,9,39
2022-12-20,9374,5,14,86
2022-12-20,9104,2,13,30
2022-12-20,9220,9,10,40
2022-12-20,9135,8,12,82
2022-12-20,9039,7,6,45
2022-12-20,9560,4,7,23
2022-12-20,9500,8,10,20
2022-12-20,9438,11,10,91
2022-12-20,9334,6,15,82
2022-12-20,9353,1,8,83
2022-12-20,9016,12,14,31
2022-12-20,9351,9,11,65
2022-12-20,9236,10,11,59
2022-12-20,9543,8,14,31
2022-12-20,9074,7,11,69
2022-12-20,9542,4,11,94
2022-12-20,9500,3,14,47
2022-12-20,9288,7,7,45
2022-12-20,9387,10,8,28
2022-12-20,9013,10,7,78
2022-12-20,9240,1,7,63
2022-12-20,9085,2,10,52
2022-12-20,9025,11,10,41
2022-12-20,9350,7,13,85
2022-12-20,9266,10,5,32
2022-12-20,9252,9,14,69
2022-12-20,9479,3,14,94
2022-12-20,9351,7,5,30
2022-12-20,9405,6,9,44
2022-12-20,9279,9,12,71
2022-12-20,9501,12,12,37
2022-12-20,9019,10,11,68
2022-12-20,9383,1,6,71
2022-12-20,9393,9,8,78
2022-12-20,9449,11,5,21
2022-12-20,9153,10,10,71
2022-12-20,9478,12,10,69
2022-12-20,9321,6,15,89
2022-12-20,9367,5,12,81
2022-12-20,9067,4,13,41
2022-12-20,9514,10,13,32
2022-12-20,9285,4,8,95
2022-12-20,9389,12,13,97
2022-12-20,9023,9,9,24
2022-12-20,9297,1,8,20
2022-12-20,9277,5,7,31
2022-12-20,9028,4,5,89
2022-12-20,9132,11,6,33
2022-12-20,9416,10,9,55
2022-12-20,9213,1,10,33
2022-12-20,9540,7,10,46
2022-12-20,9023,8,9,98
2022-12-20,9010,6,6,30
2022-12-20,9382,1,5,45
2022-12-20,9550,7,15,60
2022-12-20,9027,7,5,50
2022-12-20,9060,1,12,79
2022-12-20,9067,7,6,43
2022-12-20,9102,6,6,71
2022-12-20,9327,2,12,37
2022-12-20,9504,8,12,30
2022-12-20,9051,7,13,20
2022-12-20,9038,10,14,36
2022-12-20,9303,12,12,92
2022-12-20,9405,2,8,68
2022-12-20,9342,12,14,69
2022-12-20,9223,12,9,33
2022-12-20,9168,3,8,83
2022-12-20,9169,5,12,28
2022-12-20,9500,11,5,23
2022-12-20,9092,5,12,37
2022-12-20,9331,5,11,80
2022-12-20,9128,3,6,50
2022-12-20,9014,11,11,59
2022-12-20,9190,1,6,83
2022-12-20,9020,5,13,21
2022-12-20,9144,11,14,68
2022-12-20,9172,1,9,93
2022-12-20,9027,1,14,41
2022-12-20,9474,12,8,77
2022-12-20,9169,11,15,28
2022-12-20,9224,8,9,66
2022-12-20,9255,1,11,58
2022-12-20,9230,12,6,80
2022-12-20,9016,5,14,49
2022-12-20,9512,7,11,72
2022-12-20,9572,1,14,43
2022-12-20,9330,6,11,77
2022-12-20,9114,4,13,34
2022-12-20,9578,8,7,36
2022-12-20,9350,1,5,76
2022-12-20,9012,9,12,32
2022-12-20,9346,6,6,66
2022-12-20,9028,9,13,71
2022-12-20,9501,11,15,42
2022-12-20,9152,10,14,81
2022-12-20,9474,2,5,42
2022-12-20,9321,7,9,97
2022-12-20,9512,12,12,74
2022-12-20,9405,3,15,47
2022-12-20,9132,6,14,91
2022-12-20,9533,9,10,94
2022-12-20,9224,11,11,54
2022-12-20,9282,8,9,32
2022-12-20,9451,9,15,56
2022-12-20,9176,2,15,79
2022-12-20,9063,11,11,49
2022-12-20,9111,5,14,98
2022-12-20,9432,1,14,96
2022-12-20,9469,12,6,82
2022-12-20,9082,1,14,41
2022-12-20,9508,12,9,43
2022-12-20,9096,6,7,51
2022-12-20,9320,12,13,99
2022-12-20,9183,8,12,88
2022-12-20,9095,4,15,31
2022-12-20,9286,4,15,77
2022-12-20,9171,3,10,83
2022-12-20,9454,5,14,38
2022-12-20,9406,9,14,61
2022-12-20,9126,4,13,71
2022-12-20,9253,10,9,31
2022-12-20,9531,7,7,23
2022-12-20,9369,5,12,77
2022-12-20,9069,4,9,38
2022-12-20,9428,9,8,85
2022-12-20,9365,5,6,70
2022-12-20,9184,10,8,95
2022-12-20,9570,9,12,98
2022-12-20,9176,6,12,69
2022-12-20,9092,3,10,30
2022-12-20,9111,6,12,32
2022-12-20,9540,11,11,91
2022-12-20,9373,5,9,80
2022-12-20,9253,8,12,34
2022-12-20,9483,2,13,23
2022-12-20,9165,6,6,64
2022-12-20,9049,10,6,76
2022-12-20,9132,6,14,73
2022-12-20,9276,11,5,23
2022-12-20,9479,10,5,31
2022-12-20,9355,11,6,32
2022-12-20,9431,11,11,69
2022-12-20,9048,9,9,95
2022-12-20,9432,5,9,99
2022-12-20,9428,6,10,66
2022-12-20,9569,5,15,72
2022-12-20,9177,11,15,40
2022-12-20,9192,5,5,94
2022-12-20,9397,8,5,45
2022-12-20,9246,4,13,92
2022-12-20,9420,10,7,24
2022-12-20,9084,3,7,97
2022-12-20,9377,2,13,83
2022-12-20,9265,6,14,31
2022-12-20,9136,5,14,40
2022-12-20,9042,8,12,22
2022-12-20,9478,11,6,42
2022-12-20,9235,4,8,59
2022-12-20,9179,3,9,33
2022-12-20,9001,7,12,71
2022-12-20,9578,7,9,39
2022-12-20,9036,10,12,77
2022-12-20,9241,6,6,65
2022-12-20,9138,6,10,89
2022-12-20,9569,10,12,86
2022-12-20,9454,1,14,22
2022-12-20,9319,2,12,67
2022-12-20,9423,4,8,33
2022-12-20,9553,10,10,49
2022-12-20,9436,5,11,80
2022-12-20,9010,1,15,26
2022-12-20,9373,2,12,58
2022-12-20,9427,9,14,45
2022-12-20,9557,12,6,40
2022-12-20,9518,9,6,24
2022-12-20,9340,4,13,47
2022-12-20,9573,2,6,88
2022-12-20,9344,4,7,78
2022-12-20,9332,7,12,85
2022-12-20,9138,9,10,64
2022-12-20,9498,1,8,79
2022-12-20,9406,12,10,69
2022-12-20,9510,10,5,27
2022-12-20,9395,8,13,45
2022-12-20,9484,12,10,22
2022-12-20,9547,5,11,23
2022-12-20,9007,7,13,93
2022-12-20,9097,2,14,31
2022-12-20,9166,12,11,98
2022-12-20,9138,4,12,50
2022-12-20,9555,1,10,88
2022-12-20,9361,9,9,40
2022-12-20,9419,4,14,26
2022-12-20,9128,3,5,40
2022-12-20,9495,12,5,95
2022-12-20,9527,12,14,29
2022-12-20,9176,9,6,88
2022-12-20,9109,9,8,96
2022-12-20,9365,7,10,40
2022-12-20,9064,11,5,34
2022-12-20,9017,5,12,57
2022-12-20,9444,8,5,55
2022-12-20,9162,1,10,60
2022-12-20,9503,6,15,39
2022-12-20,9307,2,9,44
2022-12-20,9107,8,12,20
2022-12-20,9114,10,14,31
2022-12-20,9409,8,11,54
2022-12-20,9556,11,9,25
2022-12-20,9104,6,14,40
2022-12-20,9232,1,14,30
2022-12-20,9379,10,15,37
2022-12-20,9026,7,13,33
2022-12-20,9240,12,13,57
2022-12-20,9574,7,14,65
2022-12-20,9084,6,11,57
2022-12-20,9472,11,7,95
2022-12-20,9504,1,10,40
2022-12-20,9580,11,10,35
2022-12-20,9358,5,7,52
2022-12-20,9142,3,9,50
2022-12-20,9217,12,5,94
2022-12-20,9120,1,13,54
2022-12-20,9391,3,12,59
2022-12-20,9369,3,14,76
2022-12-20,9399,5,14,52
2022-12-20,9517,3,15,20
2022-12-20,9163,3,5,23
2022-12-20,9510,10,9,81
2022-12-20,9266,4,11,25
2022-12-20,9052,6,11,78
2022-12-20,9385,3,7,50
2022-12-20,9104,3,8,96
2022-12-20,9237,12,5,63
2022-12-20,9125,2,14,52
2022-12-20,9296,9,9,59
2022-12-20,9131,9,9,93
2022-12-20,9200,6,14,21
2022-12-20,9222,1,11,82
2022-12-20,9171,2,9,83
2022-12-20,9391,2,5,80
2022-12-20,9385,10,6,80
2022-12-20,9383,12,14,61
2022-12-20,9150,10,8,66
2022-12-20,9529,10,11,51
2022-12-20,9006,2,15,100
2022-12-20,9551,10,9,58
2022-12-20,9551,4,7,52
2022-12-20,9460,10,8,94
2022-12-20,9303,8,12,67
2022-12-20,9570,10,6,77
2022-12-20,9273,4,10,72
2022-12-20,9464,3,7,51
2022-12-20,9556,7,5,94
2022-12-20,9396,10,5,43
2022-12-20,9229,11,6,100
2022-12-20,9365,7,10,76
2022-12-20,9171,1,9,29
2022-12-20,9369,8,7,49
2022-12-20,9185,3,13,87
2022-12-20,9069,3,8,58
2022-12-20,9282,8,6,54
2022-12-20,9132,8,15,86
2022-12-20,9214,9,10,91
2022-12-20,9317,5,12,83
2022-12-20,9562,6,12,24
2022-12-20,9315,6,9,32
2022-12-20,9411,5,6,80
2022-12-20,9508,3,12,89
2022-12-20,9045,10,15,96
2022-12-20,9310,11,5,97
2022-12-20,9399,5,6,96
2022-12-20,9551,6,12,49
2022-12-20,9486,5,6,30
2022-12-20,9150,11,13,71
2022-12-20,9011,10,5,65
2022-12-20,9253,9,13,92
2022-12-20,9505,11,15,49
2022-12-20,9346,11,15,36
2022-12-20,9256,8,8,98
2022-12-20,9326,6,5,92
2022-12-20,9213,6,5,97
2022-12-20,9550,3,11,45
2022-12-20,9554,7,10,90
2022-12-20,9403,12,6,34
2022-12-20,9214,10,6,70
2022-12-20,9422,11,13,58
2022-12-20,9125,2,14,81
2022-12-20,9123,11,6,61
2022-12-20,9497,6,6,73
2022-12-20,9447,5,7,24
2022-12-20,9402,6,7,50
2022-12-20,9330,7,11,48
2022-12-20,9024,8,5,30
2022-12-20,9523,12,14,76
2022-12-20,9372,2,9,53
2022-12-20,9023,10,9,42
2022-12-20,9300,8,5,100
2022-12-20,9439,11,8,37
2022-12-20,9538,4,9,72
2022-12-20,9393,2,5,37
2022-12-20,9073,11,8,81
2022-12-20,9449,4,13,87
2022-12-20,9148,4,15,76
2022-12-20,9139,3,8,40
2022-12-20,9180,4,8,94
2022-12-20,9470,9,12,66
2022-12-20,9120,1,6,46
2022-12-20,9273,7,14,87
2022-12-20,9573,7,6,74
2022-12-20,9105,7,13,64
2022-12-20,9206,11,10,45
2022-12-20,9186,9,9,81
2022-12-20,9108,4,15,85
2022-12-20,9572,11,5,75
2022-12-20,9530,9,12,63
2022-12-20,9187,6,11,91
2022-12-20,9123,3,15,38
2022-12-20,9477,4,11,69
2022-12-20,9260,5,5,72
2022-12-20,9271,1,13,75
2022-12-20,9159,2,10,51
2022-12-20,9336,12,11,72
2022-12-20,9016,7,12,86
2022-12-20,9393,12,13,82
2022-12-20,9176,7,6,41
2022-12-20,9444,10,11,60
2022-12-20,9478,3,13,80
2022-12-20,9325,11,12,31
2022-12-20,9056,4,8,87
2022-12-20,9080,5,15,55
2022-12-20,9227,8,10,43
2022-12-20,9038,7,6,35
2022-12-20,9019,9,14,46
2022-12-20,9029,10,7,83
2022-12-20,9411,6,10,65
2022-12-20,9310,4,7,28
2022-12-20,9576,9,8,86
2022-12-20,9436,11,10,32
2022-12-20,9144,11,9,96
2022-12-20,9579,6,6,71
2022-12-20,9184,7,9,37
2022-12-20,9405,1,14,75
2022-12-20,9548,1,11,66
2022-12-20,9316,2,6,73
2022-12-20,9398,8,9,88
2022-12-20,9098,2,5,68
2022-12-20,9271,1,5,24
2022-12-20,9404,10,6,33
2022-12-20,9017,4,5,61
2022-12-20,9576,3,7,60
2022-12-20,9360,8,7,76
2022-12-20,9409,9,8,54
2022-12-20,9161,8,6,80
2022-12-20,9010,6,6,35
2022-12-20,9096,9,11,76
2022-12-20,9533,6,14,81
2022-12-20,9137,8,12,92
2022-12-20,9406,4,9,72
2022-12-20,9260,3,12,76
2022-12-20,9117,9,12,92
2022-12-20,9578,6,13,72
2022-12-20,9222,11,9,38
2022-12-20,9351,4,8,20
2022-12-20,9292,6,14,94
2022-12-20,9157,7,10,86
2022-12-20,9382,4,6,62
2022-12-20,9509,11,13,84
2022-12-20,9121,7,11,63
2022-12-20,9256,6,6,23
2022-12-20,9457,5,9,83
2022-12-20,9118,7,9,41
2022-12-20,9425,8,14,64
2022-12-20,9467,7,6,41
2022-12-20,9388,5,9,35
2022-12-20,9271,7,13,60
2022-12-20,9352,11,6,61
2022-12-20,9412,8,5,77
2022-12-20,9137,1,11,25
2022-12-20,9017,3,15,39
2022-12-20,9462,3,9,23
2022-12-20,9047,10,9,57
2022-12-20,9529,12,10,96
2022-12-20,9280,1,15,58
2022-12-20,9140,5,15,37
2022-12-20,9217,5,7,23
2022-12-20,9244,3,11,91
2022-12-20,9474,10,11,64
2022-12-20,9357,2,9,35
2022-12-20,9364,9,6,64
2022-12-20,9255,2,9,24
2022-12-20,9111,4,6,38
2022-12-20,9244,7,9,85
2022-12-20,9360,8,15,44
2022-12-20,9408,4,6,84
2022-12-20,9165,9,11,42
2022-12-20,9035,3,15,95
2022-12-20,9507,2,5,40
2022-12-20,9251,6,14,87
2022-12-20,9004,6,11,48
2022-12-20,9047,4,11,67
2022-12-20,9510,5,10,32
2022-12-20,9375,10,10,39
2022-12-20,9412,6,14,46
2022-12-20,9408,9,6,88
2022-12-20,9497,5,10,41
2022-12-20,9119,7,11,84
2022-12-20,9089,3,15,50
2022-12-20,9155,10,6,54
2022-12-20,9185,11,14,79
2022-12-20,9452,3,11,61
2022-12-20,9106,9,15,56
2022-12-20,9211,5,14,97
2022-12-20,9526,8,5,82
2022-12-20,9552,8,9,25
2022-12-20,9431,8,8,91
2022-12-20,9113,7,7,22
2022-12-20,9380,7,5,43
2022-12-20,9000,8,11,44
2022-12-20,9195,7,14,41
2022-12-20,9329,11,14,98
2022-12-20,9556,11,7,100
2022-12-20,9524,11,5,88
2022-12-20,9279,11,15,79
2022-12-20,9052,3,5,58
2022-12-20,9462,5,11,47
2022-12-20,9190,7,5,37
2022-12-20,9362,10,5,32
2022-12-20,9092,11,5,26
2022-12-20,9020,2,9,87
2022-12-20,9215,2,15,24
2022-12-20,9062,7,5,80
2022-12-20,9138,2,5,99
2022-12-20,9262,11,5,91
2022-12-20,9577,1,5,93
2022-12-20,9443,7,15,68
2022-12-20,9260,2,9,81
2022-12-20,9094,8,5,78
2022-12-20,9419,7,7,80
2022-12-20,9285,3,6,90
2022-12-20,9196,7,15,24
2022-12-20,9081,4,7,64
2022-12-20,9064,11,14,28
2022-12-20,9128,11,5,24
2022-12-20,9214,8,11,62
2022-12-20,9270,6,9,41
2022-12-20,9148,10,12,43
2022-12-20,9424,1,10,62
2022-12-20,9249,1,15,68
2022-12-20,9344,3,9,22
2022-12-20,9442,7,14,25
2022-12-20,9516,6,12,49
2022-12-20,9053,6,10,32
2022-12-20,9507,7,8,71
2022-12-20,9225,3,9,20
2022-12-20,9516,5,6,32
2022-12-20,9518,6,15,75
2022-12-20,9468,7,12,89
2022-12-20,9088,8,9,91
2022-12-20,9406,6,5,20
2022-12-20,9385,9,13,62
2022-12-20,9416,7,13,37
2022-12-20,9213,7,9,86
2022-12-20,9029,5,15,68
2022-12-20,9530,3,6,36
2022-12-20,9309,8,8,76
2022-12-20,9224,11,15,99
2022-12-20,9520,2,9,88
2022-12-20,9513,2,6,22
2022-12-20,9484,10,15,73
2022-12-20,9213,3,10,40
2022-12-20,9230,3,5,32
2022-12-20,9355,2,14,89
2022-12-20,9260,1,15,79
2022-12-20,9119,8,13,98
2022-12-20,9153,5,11,33
2022-12-20,9001,9,15,95
2022-12-20,9193,3,6,75
2022-12-20,9474,2,7,89
2022-12-20,9517,11,11,90
2022-12-20,9445,6,11,97
2022-12-20,9128,4,12,25
2022-12-20,9573,3,13,45
2022-12-20,9228,9,6,47
2022-12-20,9367,10,7,76
2022-12-20,9442,9,7,22
2022-12-20,9470,9,8,51
2022-12-20,9205,6,5,80
2022-12-20,9063,9,15,100
2022-12-20,9527,10,5,30
2022-12-20,9284,12,7,95
2022-12-20,9247,12,6,76
2022-12-20,9538,8,5,43
2022-12-20,9239,2,10,85
2022-12-20,9447,12,13,70
2022-12-20,9291,11,9,59
2022-12-20,9408,11,11,80
2022-12-20,9112,6,9,71
2022-12-20,9305,8,15,63
2022-12-20,9506,5,8,93
2022-12-20,9518,3,11,95
2022-12-20,9514,8,8,56
2022-12-20,9282,12,8,51
2022-12-20,9041,1,6,45
2022-12-20,9497,12,10,34
2022-12-20,9261,9,7,78
2022-12-20,9402,4,8,72
2022-12-20,9487,4,15,72
2022-12-20,9320,4,11,20
2022-12-20,9579,3,6,91
2022-12-20,9107,2,15,59
2022-12-20,9570,8,12,81
2022-12-20,9284,2,14,49
2022-12-20,9478,11,7,37
2022-12-20,9553,2,8,56
2022-12-20,9481,10,14,80
2022-12-20,9112,3,13,41
2022-12-20,9533,2,15,89
2022-12-20,9279,4,8,21
2022-12-20,9055,10,14,42
2022-12-20,9275,8,10,54
2022-12-20,9248,10,14,49
2022-12-20,9565,4,6,82
2022-12-20,9171,1,5,86
2022-12-20,9340,7,5,40
2022-12-20,9171,10,15,86
2022-12-20,9394,3,10,78
2022-12-20,9174,12,14,90
2022-12-20,9562,7,10,23
2022-12-20,9193,5,11,84
2022-12-20,9495,12,5,76
2022-12-20,9401,10,11,39
2022-12-20,9392,12,12,80
2022-12-20,9503,9,15,45
2022-12-20,9034,5,6,27
2022-12-20,9323,10,13,45
2022-12-20,9321,8,11,97
2022-12-20,9467,12,12,54
2022-12-20,9542,3,6,99
2022-12-20,9330,8,8,39
2022-12-20,9532,12,10,59
2022-12-20,9114,3,6,72
2022-12-20,9245,6,14,43
2022-12-20,9554,9,11,72
2022-12-20,9093,3,12,85
2022-12-20,9316,12,15,34
2022-12-20,9182,1,6,67
2022-12-20,9009,3,13,50
2022-12-20,9384,11,15,29
2022-12-20,9283,7,12,54
2022-12-20,9492,8,8,20
2022-12-20,9008,6,10,50
2022-12-20,9526,9,5,51
2022-12-20,9178,8,11,77
2022-12-20,9356,5,7,69
2022-12-20,9085,3,13,69
2022-12-20,9346,4,13,33
2022-12-20,9012,11,7,40
2022-12-20,9267,10,10,87
2022-12-20,9002,10,13,61
2022-12-20,9101,4,12,70
2022-12-20,9364,10,11,76
2022-12-20,9233,12,5,80
2022-12-20,9405,11,8,77
2022-12-20,9168,6,11,23
2022-12-20,9472,3,12,86
2022-12-20,9245,9,11,33
2022-12-20,9113,12,5,92
2022-12-20,9334,12,14,74
2022-12-20,9454,6,7,41
2022-12-20,9465,8,5,81
2022-12-20,9002,11,6,42
2022-12-20,9460,1,13,49
2022-12-20,9261,3,14,61
2022-12-20,9406,5,14,26
2022-12-20,9178,7,12,91
2022-12-20,9488,3,15,86
2022-12-20,9543,8,6,49
2022-12-20,9418,9,10,87
2022-12-20,9443,12,13,40
2022-12-20,9204,10,11,57
2022-12-20,9316,10,11,98
2022-12-20,9349,7,15,95
2022-12-20,9163,10,7,88
2022-12-20,9048,11,8,23
2022-12-20,9239,7,7,86
2022-12-20,9576,3,15,70
2022-12-20,9135,2,7,48
2022-12-20,9107,11,5,90
2022-12-20,9101,9,14,33
2022-12-20,9447,4,11,61
2022-12-20,9488,3,9,22
2022-12-20,9180,6,14,95
2022-12-20,9236,7,15,94
2022-12-20,9409,4,8,83
2022-12-20,9039,9,14,44
2022-12-20,9163,11,15,42
2022-12-20,9225,12,14,33
2022-12-20,9564,10,6,51
2022-12-20,9107,4,15,56
2022-12-20,9380,1,6,43
2022-12-20,9542,3,15,56
2022-12-20,9548,11,14,20
2022-12-20,9293,4,8,71
2022-12-20,9011,7,13,87
2022-12-20,9371,5,12,26
2022-12-20,9517,2,7,47
2022-12-20,9564,2,8,35
2022-12-20,9462,2,14,47
2022-12-20,9053,2,13,83
2022-12-20,9453,7,10,79
2022-12-20,9146,4,13,20
2022-12-20,9290,3,8,29
2022-12-20,9290,10,9,53
2022-12-20,9541,1,9,30
2022-12-20,9405,4,9,52
2022-12-20,9549,1,10,59
2022-12-20,9149,4,9,28
2022-12-20,9043,12,12,100
2022-12-20,9032,5,15,30
2022-12-20,9502,9,7,63
2022-12-20,9004,4,10,58
2022-12-20,9404,8,13,89
2022-12-20,9513,2,9,62
2022-12-20,9174,9,5,55
2022-12-20,9027,9,12,87
2022-12-20,9091,5,9,96
2022-12-20,9576,8,7,35
2022-12-20,9449,3,14,86
2022-12-20,9204,3,9,71
2022-12-20,9552,6,15,100
2022-12-20,9458,12,7,82
2022-12-20,9094,4,15,81
2022-12-20,9265,4,5,93
2022-12-20,9441,6,8,92
2022-12-20,9126,12,7,80
2022-12-20,9410,2,14,93
2022-12-20,9081,1,11,62
2022-12-20,9129,11,5,35
2022-12-20,9161,5,14,93
2022-12-20,9481,6,9,31
2022-12-20,9053,7,12,24
2022-12-20,9111,5,14,79
2022-12-20,9261,5,10,74
2022-12-20,9453,8,15,96
2022-12-20,9015,9,15,87
2022-12-20,9398,9,15,22
2022-12-20,9376,8,10,30
2022-12-20,9141,8,13,74
2022-12-20,9526,3,5,23
2022-12-20,9220,8,5,61
2022-12-20,9106,7,12,56
2022-12-20,9094,8,11,26
2022-12-20,9203,3,10,49
2022-12-20,9235,8,5,67
2022-12-20,9552,9,9,78
2022-12-20,9453,3,12,33
2022-12-20,9246,5,8,30
2022-12-20,9546,7,6,88
2022-12-20,9303,7,8,75
2022-12-20,9544,12,12,98
2022-12-20,9455,6,13,94
2022-12-20,9120,1,14,56
2022-12-20,9372,8,9,49
2022-12-20,9082,8,13,45
2022-12-20,9075,6,11,62
2022-12-20,9344,10,5,82
2022-12-20,9355,11,10,41
2022-12-20,9454,7,8,32
2022-12-20,9510,2,9,82
2022-12-20,9225,11,14,46
2022-12-20,9543,8,5,25
2022-12-20,9150,7,14,73
2022-12-20,9411,8,14,56
2022-12-20,9085,2,9,44
2022-12-20,9029,11,10,56
2022-12-20,9161,4,10,82
2022-12-20,9103,9,5,100
2022-12-20,9238,2,6,73
2022-12-20,9555,1,6,79
2022-12-20,9413,10,13,87
2022-12-20,9541,10,8,98
2022-12-20,9087,3,8,37
2022-12-20,9017,5,6,67
2022-12-20,9167,9,7,64
2022-12-20,9504,1,12,25
2022-12-20,9041,12,7,37
2022-12-20,9192,1,14,69
2022-12-20,9493,3,11,56
2022-12-20,9389,4,12,55
2022-12-20,9417,7,6,79
2022-12-20,9069,6,15,75
2022-12-20,9043,11,6,64
2022-12-20,9574,5,13,83
2022-12-20,9351,9,15,24
2022-12-20,9052,7,9,23
2022-12-20,9288,8,11,90
2022-12-20,9226,6,9,35
2022-12-20,9375,1,15,22
2022-12-20,9247,11,6,22
2022-12-20,9057,3,9,42
2022-12-20,9210,12,10,30
2022-12-20,9505,12,10,86
2022-12-20,9225,4,9,64
2022-12-20,9402,10,15,42
2022-12-20,9480,6,12,25
2022-12-20,9270,10,6,59
2022-12-20,9011,1,8,20
2022-12-20,9281,12,13,78
2022-12-20,9147,11,12,96
2022-12-20,9169,3,10,64
2022-12-20,9365,6,9,52
2022-12-20,9216,4,9,77
2022-12-20,9195,5,8,74
2022-12-20,9342,11,6,90
2022-12-20,9529,3,15,85
2022-12-20,9232,6,8,25
2022-12-20,9206,12,15,47
2022-12-20,9120,11,15,44
2022-12-20,9387,5,11,62
2022-12-20,9361,9,10,69
2022-12-20,9275,4,14,92
2022-12-20,9321,3,10,33
2022-12-20,9434,3,9,60
2022-12-20,9466,8,10,93
2022-12-20,9015,9,10,29
2022-12-20,9315,2,9,73
2022-12-20,9231,1,8,25
2022-12-20,9341,7,12,51
2022-12-20,9373,6,15,90
2022-12-20,9283,5,14,77
2022-12-20,9209,6,10,93
2022-12-20,9075,11,10,24
2022-12-20,9480,6,8,31
2022-12-20,9535,7,14,57
2022-12-20,9422,5,6,51
2022-12-20,9224,11,13,99
2022-12-20,9551,6,6,88
2022-12-20,9056,11,9,59
2022-12-20,9146,4,12,87
2022-12-20,9060,8,8,90
2022-12-20,9257,4,13,91
2022-12-20,9158,3,14,20
2022-12-20,9534,11,10,52
2022-12-20,9228,8,5,94
2022-12-20,9328,8,5,33
2022-12-20,9516,2,6,80
2022-12-20,9423,6,11,76
2022-12-20,9245,5,8,29
2022-12-20,9127,7,7,81
2022-12-20,9520,3,8,55
2022-12-20,9350,4,10,37
2022-12-20,9501,2,9,20
2022-12-20,9316,1,13,43
2022-12-20,9056,3,14,92
2022-12-20,9342,7,7,50
2022-12-20,9217,5,13,68
2022-12-20,9363,1,14,49
2022-12-20,9002,6,11,64
2022-12-20,9430,4,10,28
2022-12-20,9313,7,7,56
2022-12-20,9243,5,14,69
2022-12-20,9475,6,9,35
2022-12-20,9115,1,5,58
2022-12-20,9146,6,6,45
2022-12-20,9112,1,6,60
2022-12-20,9494,3,8,27
2022-12-20,9426,2,12,68
2022-12-20,9536,1,7,73
2022-12-20,9064,4,8,62
